rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
1,2,1,화이트드림치과의원 서울 강남점,2010,4121,0.393421,0.50354,0.426464,1.323425,28,133,-0.00087,0.011372,0.00053
2,1,3,티유치과의원,2305,5545,0.393421,0.499744,0.426177,1.319342,3,-110,-0.00087,0.006478,0.00016
3,1,3,고르다치과의원 강남점,1514,7338,0.393421,0.499623,0.426168,1.319212,30,-30,-0.00087,0.007329,0.000225
4,2,1,뉴엔치과의원,1523,3436,0.393421,0.4914,0.425547,1.310368,4,94,-0.00087,0.006092,0.000131
5,0,2,서울리마치과의원,1413,3506,0.393421,0.474019,0.424236,1.291676,10,219,-0.00087,-0.011306,-0.001181
6,2,3,오늘의치과의원 강남,149,2321,0.393421,0.47349,0.424196,1.291107,1,44,-0.00087,-0.014066,-0.00139
7,1,1,하루플란트치과의원,692,1369,0.393421,0.468938,0.423852,1.286211,3,-,-0.00087,0.035796,0.002373
8,1,3,퍼펙트치과의원 강남,1251,7347,0.393421,0.467905,0.423774,1.2851,-1,151,-0.00087,-0.001756,-0.000461
9,1,1,이살리는치과의원 신논현역점,89,985,0.393421,0.41157,0.419523,1.224514,12,166,-0.00087,0.023774,0.001466
10,1,3,똑똑플란트치과의원,2226,1616,0.393421,0.39726,0.418443,1.209124,7,-,-0.00087,0.001185,-0.000238
11,2,1,젊어지는치과의원,780,2514,0.393421,0.389783,0.417878,1.201082,1,30,-0.00087,0.023544,0.001448
12,1,3,사랑이아프니구강악안면외과치과의원 강남점,2009,102,0.393376,0.389614,0.417848,1.200838,4,2,-0.000869,0.002902,-0.000109
13,1,3,더뉴치과의원,521,1665,0.393421,0.34484,0.414486,1.152747,-,-,-0.00087,-0.023434,-0.002097
14,0,2,강남레옹치과의원,1667,1344,0.393421,0.342439,0.414305,1.150165,2,3,-0.00087,-0.003676,-0.000606
15,2,1,옥스치과의원,220,1551,0.393376,0.324152,0.412908,1.130436,-,16,-0.000869,0.009663,0.000401
16,1,3,미소라움치과의원,177,1080,0.393421,0.321557,0.412729,1.127707,-,2,-0.00087,-0.001075,-0.00041
17,1,3,에이티에이치과의원,1083,913,0.393421,0.319641,0.412585,1.125647,-,2,-0.00087,0.001471,-0.000217
18,0,2,미소드림치과의원,857,2385,0.393421,0.311539,0.411973,1.116933,6,5,-0.00087,-0.000549,-0.00037
19,2,1,원데이치과의원 제3관,217,78,0.393421,0.303926,0.411399,1.108746,2,1,-0.00087,0.010929,0.000497
20,1,3,킹콩치과의원,798,1065,0.393421,0.301538,0.411218,1.106177,-,4,-0.00087,-0.005711,-0.000759
21,2,1,에버스마일치과교정과치과의원,180,624,0.393421,0.292625,0.410546,1.096592,-,2,-0.00087,0.006241,0.000143
22,2,3,아인스치과교정과치과의원,654,1136,0.393421,0.291971,0.410496,1.095888,-,6,-0.00087,-0.004901,-0.000698
23,1,3,연세퍼스트구강내과치과의원,762,329,0.393376,0.286138,0.410039,1.089553,2,-,-0.000869,-0.00595,-0.000777
24,1,1,스타28치과의원,222,390,0.393421,0.284483,0.409931,1.087835,-,1,-0.00087,0.007919,0.000269
25,1,3,연세유라인치과의원 강남역점,478,3031,0.393376,0.280644,0.409624,1.083644,-,2,-0.000869,0.002923,-0.000108
