post_identifier,source,top_category_name,representative_query,archetypal_contrast_score,semantic_contrast_score,competitive_positioning_score
223277112963,ours,건강·의학,송곳니 충치,0.005217909812927246,-0.016831159591674805,0.5050655007362366
223577753077,ours,건강·의학,이가 깨졌어요,0.014165282249450684,0.026217758655548096,0.5173358917236328
223314621811,ours,건강·의학,pulpotomy,0.0520092248916626,0.021261215209960938,0.5429083108901978
223298901342,ours,건강·의학,재신경치료 기간,0.029674291610717773,0.0326271653175354,0.5246359705924988
223205080746,ours,건강·의학,이가 까맣게,0.03920680284500122,0.04113173484802246,0.5462406277656555
223733898487,ours,건강·의학,앞니 벌어짐,0.03749048709869385,-0.023236632347106934,0.5596113204956055
223630259710,ours,건강·의학,신경치료 후 잇몸 변색,-0.01614326238632202,-0.06218087673187256,0.47439640760421753
223357699582,ours,건강·의학,intrusion,-0.01839733123779297,-0.05172085762023926,0.48334068059921265
223469003670,ours,건강·의학,동탄 보존과,0.041001081466674805,-0.024399518966674805,0.5504710078239441
223278935005,ours,건강·의학,아말감 2차충치,0.006146073341369629,0.002612471580505371,0.5066729784011841
223619831819,ours,건강·의학,치아 브릿지 교체,0.08242696523666382,0.011346757411956787,0.6651729345321655
223167068424,ours,건강·의학,동탄 보존과,0.014978408813476562,0.020182251930236816,0.5172686576843262
223236128970,ours,건강·의학,소구치 충치,0.004561126232147217,0.012171030044555664,0.5074774622917175
223232140530,ours,건강·의학,동탄 미세현미경 치과,0.06991821527481079,0.03574734926223755,0.574855625629425
223340074448,ours,건강·의학,어금니 신경치료 기간,0.10526818037033081,0.0592995285987854,0.6083264946937561
223332854160,ours,건강·의학,수직치근파절,0.05739700794219971,0.007733345031738281,0.5480772256851196
223655729530,ours,건강·의학,치수괴사,0.016521155834197998,0.011566698551177979,0.5266522169113159
223627571544,ours,건강·의학,치아 옆면 충치,0.025089740753173828,-0.03288459777832031,0.5258572101593018
223760730069,ours,건강·의학,신경치료 후 염증,-0.06788831949234009,-0.050212979316711426,0.4117796719074249
223507701785,ours,건강·의학,깨진 이,0.06040710210800171,-0.013247966766357422,0.5939989686012268
223363365773,ours,건강·의학,수평치근파절,-0.02517479658126831,0.019039154052734375,0.4700385332107544
