rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
1,1,1,동탄센트럴치과병원,565,4757,0.33134,0.490465,0.49108,1.312885,15,1125,0.017944,-0.001932,0.007872
2,2,1,동탄하나로치과의원,699,2194,0.33134,0.47577,0.489971,1.297081,12,562,0.017944,0.010486,0.008809
3,2,1,이즈치과의원,1383,4469,0.33134,0.474118,0.489846,1.295304,10,528,0.017944,0.011275,0.008868
4,5,1,동탄키움치과의원,386,2235,0.33134,0.456382,0.488508,1.27623,13,551,0.017944,0.046609,0.011536
5,2,3,서울굿플란트치과의원,319,3148,0.33134,0.452743,0.488233,1.272316,11,735,0.017944,-0.031291,0.005656
6,0,2,플란치과의원 경기 동탄점,745,2928,0.33134,0.450332,0.488051,1.269723,22,1180,0.017944,-0.007704,0.007436
7,6,3,동탄주치과의원,638,3124,0.33134,0.439514,0.487235,1.258089,23,325,0.017944,-0.057408,0.003685
8,1,3,채움치과의원 동탄,533,2148,0.33134,0.429213,0.486457,1.24701,2,821,0.017944,-0.013586,0.006992
9,1,3,서울베스트치과의원 동탄점,960,2893,0.33134,0.427225,0.486307,1.244872,14,519,0.017944,0.007994,0.008621
10,3,1,동탄리즈치과의원,606,1392,0.33134,0.42596,0.486212,1.243512,34,601,0.017944,0.061672,0.012672
11,1,1,병점맥스치과의원,24,704,0.33134,0.373005,0.482215,1.18656,6,165,0.017944,-0.005911,0.007571
12,2,3,연세참예쁜치과교정과치과의원 동탄,714,1735,0.33134,0.372468,0.482175,1.185983,8,3,0.017944,-0.024826,0.006144
13,3,1,이루다소아치과의원,1027,87,0.33134,0.358625,0.48113,1.171095,7,2,0.017944,0.02421,0.009845
14,1,1,서울포인트치과의원,166,763,0.33134,0.338466,0.479609,1.149415,1,131,0.017944,-0.001891,0.007875
15,1,3,연세윤손치과의원,724,464,0.33134,0.332493,0.479158,1.142991,7,7,0.017944,-0.020639,0.00646
16,10,1,더새로운치과의원,721,1738,0.33134,0.329017,0.478895,1.139252,5,372,0.017944,0.043666,0.011313
17,1,1,연세바로치과교정과치과의원,1401,57,0.33134,0.321593,0.478335,1.131268,19,-,0.017944,0.004244,0.008338
18,1,3,마이플란트치과의원 동탄,400,717,0.33134,0.31632,0.477937,1.125597,-,5,0.017944,-0.014476,0.006925
19,8,3,동탄아이소망치과소아치과의원,777,739,0.33134,0.311625,0.477583,1.120548,76,-1,0.017944,-0.069506,0.002772
20,3,1,바른이턱치과의원 동탄점,686,995,0.33134,0.308851,0.477373,1.117564,8,48,0.017944,0.018173,0.009389
21,3,1,동탄CL치과의원,1003,66,0.33134,0.308172,0.477322,1.116834,7,1,0.017944,0.021181,0.009616
22,30,1,연세선이고은치과의원,503,531,0.33134,0.299851,0.476694,1.107885,1,7,0.017944,0.056746,0.0123
23,3,3,내이튼치과의원,357,267,0.33134,0.294222,0.476269,1.101831,29,-,0.017944,-0.003193,0.007776
24,2,3,첫번째치과의원,580,195,0.33134,0.29101,0.476027,1.098377,41,5,0.017944,-0.002832,0.007804
25,0,2,동탄역예나치과교정과치과의원,603,184,0.33134,0.290212,0.475967,1.097519,31,9,0.017944,0.00457,0.008363
26,27,1,서울아이미래치과의원,217,68,0.33134,0.290179,0.475964,1.097483,1,1,0.017944,0.048668,0.011691
27,19,1,로덴치과의원,507,17,0.331294,0.289199,0.475873,1.096366,-1,1,0.017944,0.037837,0.010873
28,5,1,디유치과의원,1033,569,0.33134,0.398348,0.475566,1.205254,35,360,0.017944,0.019417,0.009483
29,8,3,동탄365바름치과의원,461,497,0.33134,0.282859,0.475412,1.089611,9,2,0.017944,-0.014447,0.006928
30,4,1,벗치과의원,269,1104,0.33134,0.282481,0.475383,1.089204,-,-,0.017944,0.017006,0.009301
31,12,3,동탄꿈의치과의원,481,345,0.33134,0.279956,0.475193,1.086489,6,-1,0.017944,-0.022743,0.006302
32,4,3,꿈꾸는 소아치과의원,399,17,0.33134,0.273964,0.474741,1.080045,1,-,0.017944,-0.005058,0.007637
33,5,1,미래꿈나무쥬니어치과의원,287,34,0.331294,0.273917,0.47472,1.079931,5,-,0.017944,0.010726,0.008828
34,3,1,서울키즈치과의원,280,22,0.33134,0.270654,0.474491,1.076485,-,-,0.017944,0.007189,0.008561
35,0,2,메타폴리스치과의원,704,19,0.33134,0.268795,0.47435,1.074485,34,9,0.017944,0.004378,0.008348
36,4,3,동탄서울에스치과의원,764,42,0.33134,0.267427,0.474247,1.073014,-2,-,0.017944,-0.001399,0.007912
37,21,1,동탄어린이치과의원,356,13,0.33134,0.266525,0.474179,1.072044,13,1,0.017944,0.029718,0.010261
38,9,3,동탄연세원구강악안면외과치과의원,665,340,0.33134,0.265469,0.474099,1.070908,1,-,0.017944,-0.005858,0.007575
39,20,1,서울라미플란트치과교정과치과의원,1249,545,0.33134,0.263588,0.473957,1.068885,15,7,0.017944,0.026946,0.010051
40,2,1,서울안지연치과교정과치과의원,281,159,0.33134,0.25968,0.473662,1.064682,-,-,0.017944,0.004611,0.008365
41,11,3,동탄스타치과의원,409,62,0.33134,0.259076,0.473617,1.064033,3,-,0.017944,-0.011261,0.007168
42,1,1,삼성바른치과의원,287,293,0.33134,0.258031,0.473538,1.062909,-,4,0.017944,0.00398,0.008318
43,8,1,올봄플란트치과의원,611,96,0.33134,0.256751,0.473441,1.061532,4,11,0.017944,0.012112,0.008932
44,13,3,이루다치과의원,1069,108,0.33134,0.254644,0.473282,1.059266,19,5,0.017944,-0.015533,0.006845
45,6,3,예나치과교정과치과의원,765,341,0.33134,0.254434,0.473267,1.059041,22,3,0.017944,-0.00519,0.007627
46,2,3,코코치과교정과치과의원,335,146,0.33134,0.252782,0.473142,1.057264,15,2,0.017944,0.000682,0.008069
47,6,3,든든한치과의원,464,222,0.331294,0.249776,0.472898,1.053968,13,6,0.017944,-0.00801,0.007414
48,1,3,에코플러스치과의원,308,252,0.33134,0.248872,0.472847,1.053059,2,-157,0.017944,-0.001569,0.0079
49,6,1,선키스트치과의원,245,180,0.33134,0.254693,0.47283,1.058863,3,-1,0.017944,0.008228,0.008638
50,10,1,연세프렌즈치과의원,380,82,0.33134,0.248471,0.472816,1.052627,3,4,0.017944,0.011956,0.00892
51,3,3,정이든치과의원,221,6,0.33134,0.248363,0.472808,1.052511,4,-,0.017944,0.000897,0.008085
52,2,3,스마일온치과보철과치과의원,593,29,0.331294,0.248368,0.472791,1.052453,1,-,0.017944,0.003429,0.008276
53,26,3,동탄365나무치과의원,179,10,0.331294,0.245697,0.47259,1.049581,-,-,0.017944,-0.038488,0.005113
