rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
1,2,1,동탄센트럴치과병원,565,4757,0.33134,0.490465,0.49108,1.312885,24,2764,0.018448,0.016247,0.008573
2,2,1,동탄하나로치과의원,699,2194,0.33134,0.47577,0.489971,1.297081,20,974,0.018448,0.027109,0.009393
3,3,1,이즈치과의원,1383,4469,0.33134,0.474118,0.489846,1.295304,23,1972,0.018448,0.043102,0.010599
4,9,1,동탄키움치과의원,386,2235,0.33134,0.456382,0.488508,1.27623,27,1917,0.018448,0.10285,0.015109
5,6,1,서울굿플란트치과의원,319,3148,0.33134,0.452743,0.488233,1.272316,22,2231,0.018448,0.067242,0.012421
6,1,3,플란치과의원 경기 동탄점,745,2928,0.33134,0.450332,0.488051,1.269723,38,1947,0.018448,0.003684,0.007625
7,6,3,동탄주치과의원,638,3124,0.33134,0.439514,0.487235,1.258089,33,1300,0.018448,-0.054942,0.0032
8,2,1,채움치과의원 동탄,533,2148,0.33134,0.429213,0.486457,1.24701,21,1024,0.018448,0.039793,0.01035
9,7,3,서울베스트치과의원 동탄점,960,2893,0.33134,0.427225,0.486307,1.244872,31,1224,0.018448,-0.055159,0.003184
10,2,1,동탄리즈치과의원,606,1392,0.33134,0.42596,0.486212,1.243512,58,692,0.018448,0.064759,0.012234
11,6,1,병점맥스치과의원,24,704,0.33134,0.373005,0.482215,1.18656,24,470,0.018448,0.033071,0.009842
12,4,3,연세참예쁜치과교정과치과의원 동탄,714,1735,0.33134,0.372468,0.482175,1.185983,23,406,0.018448,-0.032034,0.004929
13,2,1,이루다소아치과의원,1027,87,0.33134,0.358625,0.48113,1.171095,15,2,0.018448,0.010687,0.008153
14,21,1,서울포인트치과의원,166,763,0.33134,0.338466,0.479609,1.149415,3,338,0.018448,0.082143,0.013547
15,1,1,연세윤손치과의원,724,464,0.33134,0.332493,0.479158,1.142991,7,24,0.018448,-0.012411,0.00641
16,2,3,더새로운치과의원,721,1738,0.33134,0.329017,0.478895,1.139252,10,891,0.018448,-0.020653,0.005788
17,2,1,연세바로치과교정과치과의원,1401,57,0.33134,0.321593,0.478335,1.131268,35,-,0.018448,0.004707,0.007702
18,11,3,마이플란트치과의원 동탄,400,717,0.33134,0.31632,0.477937,1.125597,2,-1041,0.018448,-0.092912,0.000334
19,10,3,동탄아이소망치과소아치과의원,777,739,0.33134,0.311625,0.477583,1.120548,144,-12,0.018448,-0.089535,0.00059
20,5,1,바른이턱치과의원 동탄점,686,995,0.33134,0.308851,0.477373,1.117564,11,50,0.018448,0.029978,0.009609
21,3,1,동탄CL치과의원,1003,66,0.33134,0.308172,0.477322,1.116834,19,1,0.018448,0.028418,0.009491
22,8,1,연세선이고은치과의원,503,531,0.33134,0.299851,0.476694,1.107885,4,10,0.018448,0.033818,0.009899
23,3,3,내이튼치과의원,357,267,0.33134,0.294222,0.476269,1.101831,34,-2,0.018448,-0.000184,0.007332
24,3,3,첫번째치과의원,580,195,0.33134,0.29101,0.476027,1.098377,85,10,0.018448,0.002041,0.007501
25,11,1,동탄역예나치과교정과치과의원,603,184,0.33134,0.290212,0.475967,1.097519,66,18,0.018448,0.033906,0.009906
26,19,1,서울아이미래치과의원,217,68,0.33134,0.290179,0.475964,1.097483,3,1,0.018448,0.044078,0.010673
27,21,1,로덴치과의원,507,17,0.331294,0.289199,0.475873,1.096366,2,1,0.018448,0.045824,0.010805
28,106,1,디유치과의원,1033,569,0.33134,0.398348,0.475566,1.205254,93,463,0.018448,0.133913,0.017454
29,11,3,동탄365바름치과의원,461,497,0.33134,0.282859,0.475412,1.089611,17,40,0.018448,-0.052137,0.003412
30,9,1,벗치과의원,269,1104,0.33134,0.282481,0.475383,1.089204,-,-,0.018448,0.028277,0.009481
31,9,3,동탄꿈의치과의원,481,345,0.33134,0.279956,0.475193,1.086489,11,-1,0.018448,-0.006893,0.006827
32,4,3,꿈꾸는 소아치과의원,399,17,0.33134,0.273964,0.474741,1.080045,4,-,0.018448,0.005071,0.00773
33,1,1,미래꿈나무쥬니어치과의원,287,34,0.331294,0.273917,0.47472,1.079931,6,-,0.018448,0.015589,0.008524
34,8,3,서울키즈치과의원,280,22,0.33134,0.270654,0.474491,1.076485,-,-,0.018448,-0.002949,0.007125
35,11,1,메타폴리스치과의원,704,19,0.33134,0.268795,0.47435,1.074485,81,12,0.018448,0.023338,0.009108
36,3,3,동탄서울에스치과의원,764,42,0.33134,0.267427,0.474247,1.073014,-1,-,0.018448,0.00925,0.008045
37,36,1,동탄어린이치과의원,356,13,0.33134,0.266525,0.474179,1.072044,15,1,0.018448,0.046724,0.010873
38,7,3,동탄연세원구강악안면외과치과의원,665,340,0.33134,0.265469,0.474099,1.070908,1,-,0.018448,0.00049,0.007383
39,7,3,서울라미플란트치과교정과치과의원,1249,545,0.33134,0.263588,0.473957,1.068885,41,17,0.018448,0.000775,0.007405
40,9,1,서울안지연치과교정과치과의원,281,159,0.33134,0.25968,0.473662,1.064682,1,-,0.018448,0.01664,0.008602
41,12,3,동탄스타치과의원,409,62,0.33134,0.259076,0.473617,1.064033,2,-,0.018448,-0.008715,0.006689
42,12,1,삼성바른치과의원,287,293,0.33134,0.258031,0.473538,1.062909,3,13,0.018448,0.020701,0.008909
43,13,1,올봄플란트치과의원,611,96,0.33134,0.256751,0.473441,1.061532,62,-137,0.018448,0.020234,0.008873
44,4,3,이루다치과의원,1069,108,0.33134,0.254644,0.473282,1.059266,29,11,0.018448,0.001287,0.007444
