postId,post_title,posting_score,exposure_score,score_가독성,score_주제,score_콘텐츠,score_키워드,score_형태소,score_후기/정보,publish_time,content_with_space,content_without_space,morpheme_count,word_count,valid_images,invalid_images,top_category_name,top_category_percentage
223916949266,"화성 동탄역 치과에서 살펴보는 더 빠르게 썩고, 발견도 어려운 2차 충치를 신경치료로 보존한 케이스",준최5-Lv.3,37.71,76.08,58.02,61.58,84.03,28.79,83.00,2025-06-30 19,1811.0,1367.0,360,130,0,7,건강·의학,53.6%
223275478813,치과보존과 전문의 윤민정의 임상 기록 : 네이버 블로그,일반,0.00,0.00,0.00,50.00,79.80,0.00,0.00,,0.0,0.0,0,0,0,0,,
223930304447,오산동 임플란트 염증이 심하고 상악동과의 거리가 가까운 어금니 2개 식립 사례를 치과 원장이 소개 드립니다.,준최5-Lv.3,37.71,74.70,66.63,63.10,78.66,60.70,70.00,2025-07-12 12,1975.0,1504.0,357,158,0,5,건강·의학,56.58%
223926105594,"화성 오산동 충치치료, 이 안쪽이 까맣게 비춰 보인 인접면 우식 레진 수복",준최5-Lv.3,37.71,73.75,68.73,60.76,85.79,62.70,52.00,2025-07-08 14,1730.0,1314.0,351,154,0,5,건강·의학,46.96%
223277112963,동탄 치과 송곳니 충치는 레진으로 당일 치료 !,준최6-Lv.2,48.13,73.94,75.61,68.99,87.91,56.28,84.00,2023-11-28 15,2209.0,1681.0,426,171,0,5,건강·의학,56.63%
223577753077,"""이가 깨졌어요 발치 해야 되나요?""깨진 앞니 레진 수복으로 해결한 케이스 동탄동 치과",준최5-Lv.3,37.71,77.84,67.71,59.89,81.87,64.54,79.00,2024-09-09 13,1643.0,1245.0,307,108,0,4,건강·의학,60.32%
223314621811,동탄2치과 '치수 절단술(pulpotomy)'로 자연치아 살리기,준최5-Lv.3,36.47,75.29,75.29,59.96,81.60,64.97,14.00,2024-01-06 23,1632.0,1237.0,320,121,2,8,건강·의학,51.24%
223298901342,동탄치과 재신경치료 기간 / 과정 / 후기를 담은 글,준최5-Lv.3,36.47,77.60,76.00,59.57,83.26,59.97,70.00,2023-12-20 23,1558.0,1190.0,310,103,2,9,건강·의학,46.39%
223205080746,"""교정 중인데 이가 까맣게 변했어요."" 변색 원인 및 치료 과정 동탄 내이튼 치과",준최5-Lv.3,37.71,77.81,70.22,66.82,81.06,71.52,55.00,2023-09-07 16,1233.0,936.0,249,82,2,3,건강·의학,50.69%
223733898487,앞니 벌어짐 어떤 방법으로 해결할 수 있을까? 동탄2 치과 에서 자연스러운 모습으로 개선한 증례,준최5-Lv.3,37.71,78.91,66.28,59.14,34.12,58.01,13.00,2025-01-27 12,1586.0,1199.0,298,108,2,1,건강·의학,57.92%
223630259710,화성 치과 앞니 신경치료 후 잇몸 변색과 뿌리 염증이 나타났다? 치아 발치 후 브릿지로 해결한 사례,준최5-Lv.3,37.71,76.76,66.74,61.88,83.67,67.82,87.00,2024-10-23 13,1864.0,1402.0,319,119,3,2,건강·의학,52.31%
223357699582,이가 안으로 들어가는 '함입 외상 (Intrusion injury)' 화성 치과 신경치료로 신경 및 혈관 손상 개선,준최5-Lv.3,36.47,75.36,70.56,66.90,79.73,67.88,81.00,2024-02-18 23,2078.0,1566.0,350,132,2,7,건강·의학,59.44%
223469003670,"동탄치과, 보존과 전문의의 재신경치료 과정! 이렇게 해야합니다!",준최5-Lv.3,37.71,76.24,66.81,63.32,81.15,46.93,18.00,2024-06-04 18,1959.0,1499.0,372,144,2,3,건강·의학,53.81%
223278935005,"오래된 아말감과 2차 충치 한 번에 레진 인레이로 교체, 동탄 치과",준최5-Lv.3,37.71,76.74,70.78,73.98,79.96,53.78,90.00,2023-11-30 12,2628.0,1997.0,482,193,1,5,건강·의학,52.71%
223619831819,"치주염으로 인한 앞니 잇몸 퇴축, 치과 에서 치아 브릿지 교체와 치주 치료로 해결한 사례",준최5-Lv.3,37.71,79.88,66.31,59.82,82.77,66.80,16.00,2024-10-15 14,1630.0,1249.0,307,119,1,2,건강·의학,60.11%
223167068424,"타원 발치 진단을 받은 치아, 보존과 전문의의 신경치료로 자연치아 살리기! 동탄치과추천",준최5-Lv.3,37.71,74.80,66.93,60.72,79.72,56.58,21.00,2023-07-26 23,1739.0,1311.0,325,111,1,5,건강·의학,51.06%
223236128970,"""이가 썩은 거 같아요!"" 소구치 인접면, 교합면 동탄 충치치료 과정",준최5-Lv.3,37.71,79.23,71.99,59.38,80.01,57.24,15.00,2023-10-13 23,1563.0,1188.0,311,101,0,4,건강·의학,50.31%
223199107505,"금이 간 어금니, 동탄치과 크랙 치아 신경치료 및 크라운 수복 과정",준최5-Lv.3,37.71,76.04,72.46,69.62,83.29,65.53,16.00,2023-08-31 23,1496.0,1137.0,323,111,1,4,건강·의학,50.94%
223269220996,"잇몸에 가득 찬 염증, 대학병원 가지 않고 화성치과 재신경치료로 개선 완료",준최5-Lv.3,36.47,74.00,69.52,59.38,82.47,58.35,64.00,2023-11-19 23,1529.0,1152.0,327,108,2,6,건강·의학,52.56%
223232140530,미세현미경을 사용한 동탄역치과 고난도 재신경치료 케이스!,준최5-Lv.3,36.47,78.14,76.80,69.09,81.70,56.17,67.00,2023-10-09 21,1480.0,1127.0,289,100,5,5,건강·의학,52.29%
223351549700,,,,,,,,,,,,,,,,,,
223340074448,"동탄역 치과 금(crack)이 간 어금니, 신경치료 (endo) 기간 및 과정에 대한 글",준최5-Lv.3,36.47,75.54,66.60,60.87,83.97,58.26,79.00,2024-01-31 22,1732.0,1305.0,336,131,1,8,건강·의학,52.05%
223129980681,"기존 임플란트 픽스쳐의 파절, 동탄동 치과 재수술로 개선 완료",준최5-Lv.3,37.71,77.93,72.87,62.62,83.39,68.18,85.00,2023-06-15 21,1898.0,1435.0,355,127,2,6,건강·의학,50.96%
223332854160,"동탄역 치과 우측 아래 어금니에 생긴 찌릿한 통증, 원인은 수직 치근 파절?",준최5-Lv.3,37.71,77.14,70.25,60.05,86.25,66.34,68.00,2024-01-24 23,1637.0,1235.0,327,120,3,4,건강·의학,57.59%
223655729530,"동탄동 치과 치아 변색의 원인, 괴사 된 치수로 검고 탁한 앞니 신경치료와 실활치 미백으로 개선 증례",준최5-Lv.3,37.71,80.04,63.97,59.08,83.65,64.57,69.00,2024-11-11 13,1564.0,1173.0,295,111,3,1,건강·의학,54.49%
223627571544,방심한 사이 나타난 치아 옆면 충치균 오산동 치과 에서 레진 치료 방법을 통해서 자연치 보존하기,준최5-Lv.3,37.71,79.93,67.55,59.75,79.62,67.04,74.00,2024-10-21 15,1631.0,1229.0,302,113,0,3,건강·의학,53.03%
223760730069,화성 치과 신경 치료 후 염증이 나타날 수 있다? 발치 후 임플란트를 진행한 사례,준최5-Lv.3,37.71,77.95,68.33,60.85,85.06,65.43,80.00,2025-02-14 17,1743.0,1317.0,327,124,1,4,건강·의학,58.25%
223507701785,치아가 깨졌어요... 깨진 이 동탄역 치과 에서 감쪽같이 만들어드렸습니다.,준최5-Lv.3,37.71,77.26,69.09,59.78,79.57,43.55,80.00,2024-07-10 10,1581.0,1209.0,302,111,2,3,건강·의학,48.07%
