Category,Label,Matched Expressions
강도,세게,세게
검사방법,육안,육안
결과,성공,성공
결과/예후,예후,예후
결제/보험,보험,보험
결제/보험,청구,청구
공간,내부,내부
과정,방법,방법
구강,치아,"gi, 니를, 사랑니, 이가, 이를, 이빨, 이와, 중절치, 치아"
구강,혀,혀로
구강/치주,치주,치주
구강/해부학,순소대,순소대
구강관리용품,워터픽,워터픽
기구/장비,콘,cone
기준,일반기준,기준
기타,cl,cl
기타,gp,gp
기타,ion,ion
기타,re,re
기타,공기,공기
기타,다른,다른
기타,단점,단점
기타,동시,동시
기타,란트,란트
기타,마음,마음에
기타,마지막,마지막
기타,본레벨,본레벨
기타,브리짓,브리짓
기타,산경,산경
기타,식기류,젓가락
기타,싱글,싱글
기타,예나,예나
기타,중요성,중요성
기타,코드,코드
기타,포인트,포인트
기타,확률,확률
단계,1차,1차
단계,초기,"조기, 초기"
대상,20대,"20대, 20살"
대상,30대,30대
대상,40대,40대
대상,50대,50대
대상,노년층,"노인, 어르신"
대상,성별,"남성, 여성, 여자"
대상,성인,"성인, 어른"
대상,소아,"미성숙, 소아, 아이, 어린이, 유치"
대상,연령,"11세, 70대, 초등"
대상,중년,중년
대상,환자,환자
목표,개선,개선
문법/동사,아는,아는
문법/부사,부정,아닌데
문법/조사,까지,까지
문법/조사,연결,이에
방향,뒤쪽,"뒤쪽, 뒷면"
방향,마주보는,마주보는
방향,수직,"vertical, 수직"
방향,수평,"lateral, 수평, 옆에, 측방"
방향,아래,"밑에, 하방"
방향,안으로,"안으로, 안쪽"
방향,안으로/안쪽,안에
방향,외부,외부
방향,우측,"오른쪽, 왼쪽, 우측"
방향,위쪽,"올리기, 위에, 위쪽, 윗쪽"
방향,쪽,쪽이
범위,광범위,광범위
병원명,내이튼,"내이튼, 네이튼, 이튼치과"
병원명,네오,네오
병원명,더바름,더바름
병원명,로덴,로덴
병원명,윤민정원장,"윤민정, 윤치과"
병원명,이편한치과,이편한
분류,c1,c1
분류,c2,c2
분류,가지,가지
분류,역할,역할
분류,전체,"전악, 전체"
분류,종류,종류
브랜드/제품,맥스픽스,맥스픽스
브랜드/제품,하나로,하나로
비교/유사성,같아요,같아요
빈도,재발,다시
빈도,횟수,"20회], 횟수"
상태,가능,가능
상태,간이,간이
상태,건강,건강
상태,기존,기존
상태,다발성,다발성
상태,무해,무해
상태,방치,방치
상태,보이는,"보이는, 보이지"
상태,부재,"비어진, 안하고, 안하는, 않는, 없는, 없음, 없이"
상태,불가능,불가
상태,살아있는,살아있는
상태,새로움,더새로운
상태,수명,수명
상태,숨은,"숨어있는, 숨은"
상태,실패,실패
상태,잔존,잔존
상태,재생,재생
상태,정지,정지
상태,진행,진행
상태,회복,"회복, 힐링"
상태,후유증,후유증
상태,힘든/어려움,힘든
생활습관,흡연,흡연
서비스,진료,진료
속성,관련성,관련이
속성,꼼꼼함/세심함,꼼꼼하게
속성,이로운,이로운
속성,특징,특징
수량,개수,6개
시간,갑작스러움,갑자기
시간,기간,"1개월, 1년, 2개월, 2주, 4개월, 만에, 몇년, 시간, 시기, 하루, 한달"
시간,긴급/당일,"emergency, 바로, 응급, 즉시"
시간,당일,당일
시간,오래된,"chronic, 만성, 오래된"
시간,이후,"이후, 한후, 후에"
시간,지연,지연
신체부위,귀밑,귀밑
신체부위,피부,피부
언어,영어,영어로
외모,얼굴,"미소, 생긴, 안면부, 얼굴"
원인,교통사고,교통사고
원인/악화요인,음식,"먹을때, 식사, 음식"
위치,경계,"경계, 마진"
위치,구강,구강
위치,부위,"가운데, 곳이, 끝에, 부분, 부위, 위치, 주변, 주위, 한곳"
위치,상악,상악
위치,앞니,"fra, tra, 앞니, 앞니가, 앞이, 전치, 전치부"
위치,인접면,"mesial, 인접, 인접면, 컨택"
위치,입천장,입천장
위치,잇몸,"인대, 입몸, 잇몸, 조직, 치은"
위치,치조골,"치조, 치조골"
위치,하악,"턱이, 하악"
위치범위,양쪽,양쪽
의도,가격문의/비용,저렴
의도,가능성문의,"걸리나요, 되나요, 되는, 받나요, 있나요, 하나요, 해도"
의도,과정문의,"과정, 기간, 순서, 어떻게, 해야하나요"
의도,동작의사,치려
의도,비용문의,"가격, 비용, 얼마나"
의도,질문/문의,무엇인
의도,추천요청,"잘하는, 잘하는 곳, 잘하는곳, 좋은, 추천"
의도,탐색,"가요, 내원, 찾기"
의도,후기문의,후기
의도/심리상태,고민,고민
인물,이름,박영준
장비/기구,기계,"기계, 기구"
장소,랜드마크,"호수, 호수공원"
장소,북광장,북광장
장소,센트럴,센트럴
장소,역,등촌역
장소,의료기관,"ㅊ콰, 경희대, 대학, 대학병원, 병원, 의료, 의원, 이즈, 자리, 치과"
장소,지역,영등포
재료,MTA,mta
재료,PFM/PFZ,pfm
재료,거터퍼쳐,거터퍼쳐
재료,나노,나노
재료,나무,나무
재료,레진,래진
재료,세라믹,"세라믹, 쎄라믹"
재료,수산화칼슘,"수산화칼슘, 칼슘"
재료,재료,재료
재료,지르코니아,지르코니아
재료,차폐막,차폐막
재료,충전재,충전재
재료,칼시펙스,칼시펙스
재료특성,발수,발수
재료특성,크립,creep
재발,재발,재발
정보,내용,내용
정보,용어,"용어, 임상"
정보,탐색,exploer
정보,프로필,profile
제작,몰딩/본뜨기,moulding
제작,제작,제작
증상,거칠거림,"거려요, 거리고, 꺼끌꺼끌"
증상,급성,급성
증상,노출,"노출, 드러난"
증상,덩어리/종괴,덩어리
증상,마모,마모
증상,매복,매복
증상,변색,"갈색, 거멓게, 검게, 검은, 까만, 까맟게, 까맣, 까매져요, 까매졌어요, 까매짐, 반점, 변색, 색소침착, 색이, 어둡게, 착색"
증상,변화,"변하는, 변한, 변함, 변했어요, 변화"
증상,병소,병소
증상,부작용,부작용
증상,부족,"부전, 부족"
증상,염증/고름,"감염, 고름, 급성치수염, 농, 누공, 물집, 부었다가, 부음, 붓고, 붓기, 뾰루지, 염즘, 염증, 치수염"
증상,외상,"깨물어서, 넘어져서, 넘어짐, 부딪혔는데, 부딪힌뒤, 부딪힌후, 부딪힘, 외상, 충격"
증상,원인,"발생, 생겨, 생겼을때, 생기는, 원인, 이유"
증상,이물질,이물질
증상,이질감,이질감
증상,이질감/아밀감,아밀감
증상,정도/심함,"많이, 살짝, 심하게, 심한, 정도"
증상,주관적느낌,느낌
증상,증상,"신호, 증상"
증상,찌르르,찌르르
증상,찢어짐,"찢김, 찢어짐, 파열"
증상,출혈,"출혈, 피가나요?"
증상,충치,"썩어, 썩어서, 썩으면, 썩음, 충티"
증상,치석,치석
증상,치아간격/벌어짐,"diastema, 공간, 다이아스테마, 벌어져요, 벌어져있는, 벌어졌어요, 벌어지고, 벌어지는, 벌어진, 벌어짐, 사이, 이간, 치간, 틈새"
증상,치아변위/함입,"intrusion, 합입"
증상,치주주머니,주머니
증상,침범,"침범이, 침투"
증상,탈락,"간거, 결손치, 들뜸, 떨어, 떨어져, 떨어졋어요, 떨어졌어요, 떨어짐, 분리, 빠졌어요, 빠졌을때, 빠짐, 소실, 탈락"
증상,탈회,탈회
증상,통증,"불편, 시림, 시큰, 아파, 아픈, 아픔, 안아프게, 압통, 욱신, 욱신거림, 욱씬, 찌릿한, 찬거, 찬것, 통증"
증상,퇴축,"내려간, 내려앉았을때, 내려앉음, 퇴축"
증상,파고드는,파고드는
증상,파손/깨짐,"crack, 골드, 균열, 금, 금이 간, 깨졌는데, 깨졌어, 깨졌어요, 깨졌을때, 깨진, 깨짐, 꺠짐, 때짐, 부러진, 부러짐, 부식, 뿌러짐, 손상, 천공, 크랙, 파절"
증상,흔들림,"흔드림, 흔들, 흔들리는"
증상,흡수,흡수
지역,가야,가야
지역,근처,"근처, 부근"
지역,대구,대구
지역,대전,대전
지역,동탄,동탄
지역,동탄2,"2동탄, 2차, 동탄2, 이차"
지역,동탄역,동탄역
지역,목동,목동
지역,부산,부산
지역,분당,분당
지역,서울,서울
지역,수원,수원
지역,오산,오산
지역,인천,인천
지역,화성,화성
직군,교수,교수
직군,대표,대표
직군,의사,"원장, 의사"
진단/시각화,보여줌,비쳐
진단장비,CT,ct
진단장비,미세현미경,"미세, 미세현미경, 현미경"
진단장비,엑스레이,"방사선, 엑스레이, 파노라마"
진단장비,카메라,카메라
진료, 접합,접합
진료,apexification,apexification
진료,거상술,거상술
진료,교정,교정
진료,교정/와이어,와이어
진료,교체,"교체, 대체"
진료,근관치료/부근관,부근관
진료,라미네이트,라미네이트
진료,레진,"레진, 아말감"
진료,마취,"inje, 마취"
진료,발치,"발치, 빼고, 삭제, 제거, 탈거"
진료,보철,"보철, 오버덴쳐, 틀니"
진료,브릿지,"브럿지, 브리지, 브릿지"
진료,뼈이식,"골이식, 뼈가루, 뼈이식"
진료,상악동거상술,"sinus, 상악동"
진료,세팅/고정,"고정, 세팅"
진료,수면,"수면, 진정"
진료,수복,수복
진료,수술,수술
진료,술식,"술식, 자르는, 절단, 절단술, 절제, 절제술"
진료,스케일링,"스케일링, 청소"
진료,스플린트,"스프린트, 스플린트"
진료,시술/처치,시술
진료,신경치료,"endo, 근관, 근관치료, 복조술, 신경, 신경치료, 엔도"
진료,실란트,"실란트, 실런트"
진료,심미치료,심미
진료,아스톡,아스톡
진료,예약가능여부,한가요
진료,이맥스,"이맥스, 이멕스"
진료,인레이,"온레이, 인레이, 인레인"
진료,인상채득,인상
진료,임시치아,"임시, 임시치아"
진료,임플란트,"implant, 레벨픽스쳐, 식립, 어버트먼트, 이식, 인플란트, 임프란트, 임플, 임플란트, 플란, 픽스처, 픽스쳐"
진료,임플란트 부속품,나사
진료,잇몸치료,잇몸치료
진료,재신경치료,"리엔도, 재신경치료"
진료,조정/조절,조정
진료,중화작업,중화작업
진료,충전,"떼우는, 떼운, 채움, 충전"
진료,충치,"떼웠던, 메꿈, 썩었어요, 썩은, 썪은, 우식, 충치, 홈메우기"
진료,치근단절제술,치근단절제술
진료,치료,"차료, 치료"
진료,치수절단술,치수절단술
진료,치수절단술/근첨와동,"pulpotomy, pulptomy, 펄포토미"
진료,치아미백,"bleach, 미백, 실활치, 실활치미백"
진료,캔틸레버,캔틸레버
진료,코어,코어
진료,코핑,코핑
진료,큐레이션,큐레이
진료,크라운,"씌우기, 씌운, 씌울때, 씌웠는데, 으로씌우나요, 크라운, 크라울, 크라은, 크리운"
진료,포스트,포스트
진료,폴리싱,"팔리싱, 폴리싱"
진료,형성술,형성술
진료/보철물,폰틱,pontic
진료과,보존과,"보존, 보존과"
진료과,전문의,"전문, 전문의"
진료과정,마무리,마무리
진료과정,방법론,접근법
진료과정,추적관찰,추적관찰
진료과정,프랩,프랩
진료목표,관리,"관리, 유지"
진료목표,달성/이루다,이루다
진료목표,보존,살리기
진료목표,예방,예방
진료목표,진단,"검진, 발견, 정기, 진단, 확인"
진료보조,러버댐,러버댐
진료보조,사진,"사진, 촬영"
진료보조/기구,가이드,가이드
진료보조/기구,드릴,드릴
진료보조/기구,칫솔,"치실, 칫솔"
진료보조/기구,클램프,클램프
진료상태,완성,"됐어요, 완료, 완성"
진료특성,고난도,"고난도, 고난이도"
진료특성,디지털,디지털
진료특성,무통,무통
질병,iarpd,iarpd
질병,간질,간질
질병,백선,백선
질병,왜소치,왜소치
질병,질환,질환
질병,치괴,치괴
질병,치수괴사,"괴사, 죽은, 치수괴사"
질병,치주염,"periodontitis, 주위염, 치주염"
질병,치질,치질
질병/상태,낭종,낭종
질병/상태,석회화,석회화
측정,길이,"4.5mm, 길이"
측정,레벨,레벨
측정,수치,3.5
측정,절반,절반
측정/크기,높이,높이
치료,경과,경과
치료,첩약,첩약
치료,케이스,"경우, 사례, 증례, 케이스"
치료,폴리싱,다듬어
치료시기,치료후,치료후
치아,14번,14번
치아,15번,"#15, 15번"
치아,16번,16번
치아,17번,17번
치아,22번,22번
치아,24번,24번
치아,25번,25번
치아,31번,31번
치아,36번,36번
치아,37번,37번
치아,41번,41번
치아,46번,46번
치아,47번,47번
치아,자연치,자연치
치아,치아,치아
치아간격/벌어짐,좁은,좁은
치아배열,총생,밀려
치아배열,치열,치열
치아부위,근단,근단성
치아부위,소구치,소구치
치아부위,송곳니,"성곳니, 송곳니, 송곶니"
치아부위,어금니,"구치부, 어금니"
치아부위,측면,옆면
치아부위,치근,"apical, root, 뿌리, 치근, 치근단, 치아뿌리"
치아위치,아랫니,"아래, 아랫, 아랫니, 아랫이"
치아위치,윗니,윗니
치아이상,치외치,치외치
치아종류,영구치,영구치
치아해부학,MB2,"mb, mb2"
치아해부학,교두,교두
치아해부학,교합,교합
치아해부학,교합면,"교합면, 그루브"
치아해부학,대합치,대합치
치아해부학,치경부,치경부
치아해부학,치관,"머리, 치관"
치아해부학,치수,치수
치아형태,c형,c형
치아형태,함입,함입
해부학,인체,인체
해부학,혈관,혈관
행동,들어감,"들어가, 들어가는, 들어간, 들어갔을때"
행동,사용,사용
행동,이동,이동
행동,지속,"계속, 지속"
형태,각도,각도
형태,돌출,"돌출, 튀어나온"
형태,두께,두께
형태,라인,라인
형태,모양,"모양, 크기"
형태,작은,작은
형태/색상,색상,"색상, 쉐이드, 파란불빛, 파란색, 푸른색, 하얀, 회색, 흰색"
형태/정도,깊게,깊게
